物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额,,,,
02010009,80-90克岩手大网鲍,,只,,5.00,5.00, ,"1,409.000","7,045.00", ,,,,
02010010,90-100克岩手大网鲍,,只,,3.00,3.00, ,"2,213.000","6,639.00", ,,,,
02010011,120-150克岩手大网鲍,,只,,2.00,2.00, ,"5,018.000","10,036.00", ,,,,
02020002,26-30头吉品鲍,,斤,,1.14,1.14, ,"4,250.000","4,845.00", ,,,,
02020004,22-24克头吉品鲍,,斤,,0.09,0.05,0.04,"5,000.000",250.00,200.00,,,,
02020009,21-25头吉品鲍,,斤,,0.87,0.65,0.22,"4,750.000","3,087.50","1,045.00",,,,
02020010,16头-20头吉品鲍,,斤,,0.13,0.13, ,"6,000.000",780.00, ,,,,
02030004,6头南非鲍,,斤,,3.20,3.20, ,"1,343.750","4,300.00", ,,,,
02030005,10-13头南非网鲍,,斤,,2.86,2.48,0.38,"1,858.910","4,610.09",706.39,,,,
02030006,20头南非吉品鲍,,斤,,1.26,1.26, ,"2,103.200","2,650.03", ,,,,
02030008,25头南非吉品鲍,,斤,,0.09,0.09, ,"3,318.000",298.62, ,,,,
02050001,20-29克禾麻鲍,,斤,,1.21,1.21, ,"5,933.980","7,180.11", ,,,,
02050002,30-39克禾麻鲍,,斤,,0.07,0.07, ,"6,500.000",455.00, ,,,,
合计,,,,,,,,,"52,176.35","1,951.39",,,,
0401,冬虫草,,斤,,0.08,0.08, ,"73,482.640","5,878.61", ,,,,
0403,冬虫草1500支,,斤,,0.06,0.05,0.01,"80,000.000","4,000.00",800.00,,,,
合计,,,,,,,,,"9,878.61",800.00,,,,
0102,燕盏,,斤,,1.72,1.00,0.72,"2,827.770","2,827.32","2,035.67",,,,
合计,,,,,,,,,"2,827.32","2,035.67",,,,
03050002,11寸牙勾翅,,斤,,3.00,2.40,0.60,"1,059.170","2,542.01",635.50,,,,
03050003,12寸牙勾翅,,斤,,1.00, ,1.00,"1,127.500", ,"1,127.50",,,,
0308,23寸鬼春翅,,斤,,1.80,0.27,1.53,"1,866.671",504.00,"2,856.01",,,,
合计,,,,,,,,,"3,046.01","4,619.01",,,,
总计,食品,,,,,,,,"67,928.29","9,406.07",,,,