物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额,,,
02010009,80-90克岩手大网鲍,,只,,5.00,5.00, ,"1,409.000","7,045.00", ,,,
02010010,90-100克岩手大网鲍,,只,,3.00,3.00, ,"2,213.000","6,639.00", ,,,
02010011,120-150克岩手大网鲍,,只,,2.00,2.00, ,"5,018.000","10,036.00", ,,,
02020002,26-30头吉品鲍,,斤,,1.46,1.14,0.32,"4,250.000","4,845.00","1,360.00",,,
02020004,22-24克头吉品鲍,,斤,,0.51,0.23,0.28,"5,000.000","1,150.00","1,400.00",,,
02020009,21-25头吉品鲍,,斤,,1.00,1.00, ,"4,750.000","4,750.00", ,,,
02020010,16头-20头吉品鲍,,斤,,1.07,0.40,0.67,"6,000.000","2,400.00","4,020.00",,,
02030004,6头南非鲍,,斤,,3.40,3.24,0.16,"1,343.750","4,353.75",215.00,,,
02030005,10-13头南非网鲍,,斤,,5.22,4.22,1.00,"1,858.910","7,844.60","1,858.91",,,
02030006,20头南非吉品鲍,,斤,,1.60,1.45,0.15,"2,103.200","3,049.64",315.48,,,
02030008,25头南非吉品鲍,,斤,,0.26,0.26, ,"3,318.000",862.68, ,,,
02050001,20-29克禾麻鲍,,斤,,1.21,1.21, ,"5,933.980","7,180.11", ,,,
02050002,30-39克禾麻鲍,,斤,,0.07,0.07, ,"6,500.000",455.00, ,,,
合计,,,,,,,,,"60,610.78","9,169.39",,,
0401,冬虫草,,斤,,0.12,0.10,0.02,"70,676.885","7,254.73","1,450.95",,,
0403,冬虫草1500支,,斤,,0.06,0.06, ,"80,000.000","4,800.00", ,,,
合计,,,,,,,,,"12,054.73","1,450.95",,,
0102,燕盏,,斤,,1.56,0.26,1.30,"2,837.270",737.20,"3,685.98",,,
合计,,,,,,,,,737.20,"3,685.98",,,
03050003,12寸牙勾翅,,斤,,3.50,2.20,1.30,"1,127.500","2,480.50","1,465.75",,,
0308,23寸鬼春翅,,斤,,2.00,1.16,0.84,"1,866.670","2,165.34","1,568.00",,,
合计,,,,,,,,,"4,645.84","3,033.75",,,
总计,食品,,,,,,,,78048.55,17340.07,,,