ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0202001,六味岩燕盏,位,RMB,380.00,18.0,"6,840.00"
0202005,津梨炖岩燕盏,位,RMB,180.00,13.0,"2,340.00"
0202005,津梨炖岩燕盏,位,RMB,380.00,1.0,380.00
0202009,桂花玫瑰蜜炖官燕盏,位,RMB,280.00,4.0,"1,120.00"
0205001,法国金兰花烩鲍翅皇,位,RMB,480.00,1.0,480.00
0205002,鲍汁荷香海虎翅,位,RMB,680.00,18.0,"12,240.00"
0302001,三支虫草巴戟炖花胶,位,RMB,580.00,3.0,"1,740.00"
0302005,1800庄三支冬虫草炖肉汁,位,RMB,380.00,12.0,"4,560.00"
0201001,日本12头岩手吉品鲍,位,RMB,"2,280.00",1.0,"2,280.00"
0201003,日本20头岩手吉品鲍,位,RMB,880.00,14.0,"12,320.00"
0201311,八头南非鲍,只,RMB,550.00,3.0,"1,650.00"
1201075,鲍汁扣八头南非干鲍（父亲节组合）,位,RMB,200.00,75.0,"15,000.00"